Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
grains,,,yes,Application of Two-Dimensional Orthogonal Reversed-Phase Liquid Chromatography for Taste Compound Analysis,"D Jiang, Y Huang, DG Peterson",Recent Advances in the Analysis of Food and Flavors,137-144,1,2012,u_35RYKgDlwC,
,,,,Influence of radical molecules on the generation of Maillard-type aroma compounds,"VM Totlani, DG Peterson","IFT Annual Meeting and Food Expo, Las Vegas, NV, July",16-Dec,1,2004,nb7KW1ujOQ8C,
,,,,Minnesota-grown Hard Red Spring Wheat Quality Evaluation: Identifying and Defining Key Criteria in Relation to End-use Quality,DG Peterson,University of Minnesota,,1,1997,abG-DnoFyZgC,
other,,,yes,Methods of making modified alcohol containing products,"DG Peterson, S Kokkinidou",US Patent App.,"16/522,091",0,2020,BrmTIyaxlBUC,
,,,,Nano-structured lipid particles for controlled transport of hydrophobic volatile and non-volatile molecules,"BC Uhl, DG Peterson, U Yucel",Colloids and Surfaces A: Physicochemical and Engineering Aspects,"591, 124421",0,2020,8AbLer7MMksC,
,,,,Identification of Somatosensory Compounds Contributing to Slipperiness and Thickness Perceptions in Canned Prunes (Prunus domestica),"S Deshpande, DG Peterson",Journal of agricultural and food chemistry,"68 (46), 13160-13167",0,2020,VOx2b1Wkg3QC,
other,,,yes,Identification of Compounds that Negatively Impact Coffee Flavor Quality Using Untargeted Liquid Chromatography/Mass Spectrometry Analysis,"S Sittipod, E Schwartz, L Paravisini, E Tello, DG Peterson",Journal of agricultural and food chemistry,"68 (38), 10424-10431",0,2020,fQNAKQ3IYiAC,
vegetables,,,yes,Impact of temperature and water activity on the aroma composition and flavor stability of pea (Pisum sativum) protein isolates during storage,"H Mehle, L Paravisini, DG Peterson",Food & Function,"11 (9), 8309-8319",0,2020,q3oQSFYPqjQC,
dairy,,,yes,Correction to Identification of Bitter Peptides in Aged Cheddar Cheese,"K Karametsi, S Kokkinidou, I Ronningen, DG Peterson",Journal of agricultural and food chemistry,"67 (39), 10994-10994",0,2019,sSrBHYA8nusC,
fruits,,,yes,Identification of somatosensory compounds in prunes,"S Deshpande, D Peterson",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,258,0,2019,D_sINldO8mEC,
,,,,Understanding consumer acceptability in strawberry preserves using flavoromics,"G Dubrow, D Peterson",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,257,0,2019,vRqMK49ujn8C,
,,,,Panelist titration methodology using magnitude matching to create individualized sample sets of bitter solutions.,"A Soldavini, S Kokkinidou, J Peterson, D Peterson, C Simons",,2018 SSP Conference,0,2018,LPZeul_q3PIC,
other,,,yes,Impact of bitter tastants on volatile flavor perception of coffee,"A Soldavini, S Kokkinidou, J Peterson, O Auell, C Simons, D Peterson",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,256,0,2018,tS2w5q8j5-wC,
,,,yes,Flavor Development During Baking: Role of Phenolics in Cereal Product Flavor (Maillard Reactions),DG Peterson,Annual Review of Food Science and Technology,7 (1),0,2016,u9iWguZQMMsC,
vitamins & minerals,,,yes,Effect of Protein-Lipid-Salt Interactions on Sodium Availability in the Mouth and Consequent Perception of Saltiness: As Affected by Hydration in Powders,"U Yücel, DG Peterson",JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,,0,2015,mvPsJ3kp5DgC,
"vegetables, phytochemicals",,,yes,Phytonutrient compositions from mushrooms or filamentous fungi and methods of use,"RB Beelman, NJ Dubost, DG Peterson, M Hausman",US Patent App.,"12/502,677",0,2009,Wp0gIr-vW9MC,
,,,,C Food Chemistry and Toxicology-Recovery and Purification of 10-oxo-trans-8-decenoic Acid Enzymatically Produced Using a Crude Homogenate of Agaricus bisporus,"RO Morawicki, RB Beelman, D Peterson",Journal of Food Science,"70 (8), C490",0,2005,08ZZubdj9fEC,
,,,,E Food Engineering and Physical Properties-Biosynthesis of 1-Octen-3-ol and 10-Oxo-trans-8-decenoic Acid Using a Crude Homogenate of Agaricus bisporus: Reaction Scale Up,"RO Morawicki, RB Beelman, D Peterson, A Demirci",Journal of Food Science,"70 (5), E367",0,2005,IjCSPb-OGe4C,
grains,,,yes,A simple digital conversion of a traditional laboratory mixograph,"DG Peterson, RG Fulcher",Cereal Research Communications,"29 (3), 397-404",0,2001,ufrVoPGSRksC,
,,,,State-of-the art data normalization methods improve NMR-based metabolomic analysis,"SM Kohl, MS Klein, J Hochrein, PJ Oefner, R Spang, W Gronwald",Metabolomics,"8, 146-160",179,2012,hMsQuOkrut0C,
,,,,Metabolite Measurement: Pitfalls to Avoid and Practices to Follow,"W Lu, X Su, MS Klein, IA Lewis, O Fiehn, JD Rabinowitz",Annual review of biochemistry,"86, 277-304",141,2017,SpbeaW3--B0C,
,,,,Urinary metabolite quantification employing 2D NMR spectroscopy,"W Gronwald, MS Klein, H Kaspar, SR Fagerer, N Nürnberger, K Dettmer, ...",Analytical chemistry,"80 (23), 9288-9297",128,2008,lmc2jWPfTJgC,
,,,,Nuclear magnetic resonance and mass spectrometry-based milk metabolomics in dairy cows during early and late lactation,"MS Klein, MF Almstetter, G Schlamberger, N Nürnberger, K Dettmer, ...",Journal of dairy science,"93 (4), 1539-1550",121,2010,tuHXwOkdijsC,
,,,,NMR Metabolomic Analysis of Dairy Cows Reveals Milk Glycerophosphocholine to Phosphocholine Ratio as Prognostic Biomarker for Risk of Ketosis,"MS Klein, N Buttchereit, SP Miemczyk, AK Immervoll, C Louis, ...",Journal of proteome research,"11 (2), 1373-1381",114,2011,tYavs44e6CUC,
,,,,Metabolomics and Type 2 Diabetes: Translating Basic Research into Clinical Application,"MS Klein, J Shearer","Journal of Diabetes Research, Article ID",824814,91,2015,#NAME?,
,,,,Detection of autosomal dominant polycystic kidney disease by NMR spectroscopic fingerprinting of urine,"W Gronwald, MS Klein, R Zeltner, BD Schulze, SW Reinhold, ...",Kidney international,"79 (11), 1244-1253",60,2011,TIZ-Mc8IlK0C,
specialized diets,,,yes,Metabolomic Modelling to Monitor Host Responsiveness to Gut Microbiota Manipulation in the BTBRT+tf/j Mouse,"MS Klein, C Newell, MR Bomhof, RA Reimer, DS Hittel, JM Rho, HJ Vogel, ...","Journal of Proteome Research, DOI:",10.1021/acs.jproteome.5b01025,37,2016,S16KYo8Pm5AC,
,,,,The ACTN3 R577X polymorphism is associated with cardiometabolic fitness in healthy young adults,"CL Deschamps, K Connors, MS Klein, VL Johnsen, J Shearer, HJ Vogel, ...",PLOS ONE,"10 (6), e0130644",37,2015,e_rmSamDkqQC,
,,,,Analysis of human urine reveals metabolic changes related to the development of acute kidney injury following cardiac surgery,"HU Zacharias, G Schley, J Hochrein, MS Klein, C Köberle, KU Eckardt, ...",Metabolomics,"9, 697-707",31,2013,g3aElNc5_aQC,
,,,,Performance Evaluation of Algorithms for the Classification of Metabolic 1H-NMR Fingerprints,"J Hochrein, MS Klein, HU Zacharias, J Li, G Wijffels, HJ Schirra, R Spang, ...",Journal of Proteome Research,"11 (12), 6242–6251",28,2012,KUbvn5osdkgC,
,,,,Discrimination of steatosis and NASH in mice using nuclear magnetic resonance spectroscopy,"MS Klein, C Dorn, M Saugspier, C Hellerbrand, PJ Oefner, W Gronwald",Metabolomics,"7 (2), 237-246",27,2011,gsN89kCJA0AC,
,,,,"nmrML: a community supported open data standard for the description, storage, and exchange of NMR data","D Schober, D Jacob, M Wilson, JA Cruz, A Marcu, JR Grant, A Moing, ...",Analytical chemistry,"90 (1), 649-656",25,2018,HbR8gkJAVGIC,
,,,,Understanding Plant Nitrogen Metabolism through Metabolomics and Computational Approaches,"PH Beatty, MS Klein, JJ Fischer, IA Lewis, DG Muench, AG Good",Plants,"5 (4), 39",24,2016,i2xiXl-TujoC,
,nonalcoholic steatohepatitis,,yes,Early changes in the liver‐soluble proteome from mice fed a nonalcoholic steatohepatitis inducing diet,"A Thomas, AP Stevens, MS Klein, C Hellerbrand, K Dettmer, W Gronwald, ...",Proteomics,"12 (9), 1437-1451",24,2012,kuK5TVdYjLIC,
,,,,Correlations between milk and plasma levels of amino and carboxylic acids in dairy cows,"MS Klein, MF Almstetter, N Nürnberger, G Sigl, W Gronwald, ...",Journal of proteome research,"12 (11), 5223-5232",22,2013,k8Z6L05lTy4C,
,,,,MetaboQuant: a tool combining individual peak calibration and outlier detection for accurate metabolite quantification in 1D 1H and 1H-13C HSQC NMR spectra,"MS Klein, PJ Oefner, W Gronwald",BioTechniques,"54 (5), 251-256",21,2013,VaXvl8Fpj5cC,
,"nonalcoholic steatohepatitis, cystic cirrhosis",,yes,Changes in the hepatic mitochondrial and membrane proteome in mice fed a non-alcoholic steatohepatitis inducing diet.,"A Thomas, MS Klein, AP Stevens, Y Reinders, C Hellerbrand, K Dettmer, ...",Journal of proteomics,"80, 107–122",20,2013,MLfJN-KU85MC,
,,,,Polymorphisms within the APOBR gene are highly associated with milk levels of prognostic ketosis biomarkers in dairy cows,"J Tetens, C Heuer, I Heyer, MS Klein, W Gronwald, W Junge, PJ Oefner, ...",Physiological Genomics,"47 (4), 129-137",19,2015,WZBGuue-350C,
,,,,Short communication: Use of genomic and metabolic information as well as milk performance records for prediction of subclinical ketosis risk via artificial neural networks,"A Ehret, D Hochstuhl, N Krattenmacher, J Tetens, MS Klein, W Gronwald, ...",Journal of Dairy Science,"98 (1), 322–329",19,2015,oNZyr7d5Mn4C,
,,,,Evidence for Regulation of Hemoglobin Metabolism and Intracellular Ionic Flux by the Plasmodium falciparum Chloroquine Resistance Transporter,"AH Lee, SK Dhingra, IA Lewis, MK Singh, A Siriwardana, S Dalal, ...",Scientific Reports,"8 (1), 13578",16,2018,foquWX3nUaYC,
,,,,"Current Experimental, Bioinformatic and Statistical Methods used in NMR Based Metabolomics","H U Zacharias, J Hochrein, M S Klein, C Samol, P J Oefner, W Gronwald",Current Metabolomics,"1 (3), 253-268",16,2013,kz9GbA2Ns4gC,
,,,,Mesenchymal stem cells shift mitochondrial dynamics and enhance oxidative phosphorylation in recipient cells,"C Newell, R Sabouny, DS Hittel, TE Shutt, A Khan, MS Klein, J Shearer",Frontiers in Physiology,"9, 1572",15,2018,ruyezt5ZtCIC,
,,,,Metabolomics reveals the sex specific effects of the SORT1 low-density lipoprotein cholesterol locus in healthy young adults,"MS Klein, KE Connors, J Shearer, HJ Vogel, DS Hittel",Journal of Proteome Research,"13 (11), 5063–5070",14,2014,M7yex6snE4oC,
specialized diets,"autism spectrum disorder, epilepsy, Alzheimer's disease",,yes,Ketogenic diet leads to O-GlcNAc modification in the BTBRT+ tf/j mouse model of autism,"C Newell, VL Johnsen, NC Yee, WJ Xu, MS Klein, A Khan, JM Rho, ...",Biochimica et Biophysica Acta (BBA)-Molecular Basis of Disease,1863 (9 …,6,2017,PoWvk5oyLR8C,
,,,,Maternal and Cord Blood Metabolite Associations with Gestational Weight Gain and Pregnancy Health Outcomes,"J Shearer, MS Klein, HJ Vogel, S Mohammad, S Bainbridge, KB Adamo",Journal of Proteome Research,,0,2021,FPJr55Dyh1AC,
,,,,Determining the effects of nutrition on the reproductive physiology of male mosquitoes,"DT Huck, MS Klein, ME Meuti",Journal of Insect Physiology,104191,0,2021,edDO8Oi4QzsC,
,,,yes,A Protein‐free Chemically Defined Medium for the Cultivation of Various Microorganisms with Food Safety Significance,"D Wang, P Greenwood, MS Klein",Journal of Applied Microbiology,,0,2021,0N-VGjzr574C,
,,,,Affine Transformation of Negative Values for NMR Metabolomics Using the mrbin R Package,MS Klein,Journal of Proteome Research,,0,2021,Ug5p-4gJ2f0C,
other,,,yes,Caffeine-Containing Energy Shots Cause Acute Impaired Glucoregulation in Adolescents,"J Shearer, RA Reimer, DS Hittel, MA Gault, HJ Vogel, MS Klein",Nutrients,"12 (12), 3850",0,2020,XoXfffV-tXoC,
,,,,Analysis of metabolic disorders of dairy cows employing multidimensional and multinuclear NMR spectroscopy,MS Klein,,,0,2011,xtoqd-5pKcoC,
,,,,Supplementary Information-Detection of autosomal dominant polycystic kidney disease using NMR spectroscopic fingerprints of urine,"W Gronwald, MS Klein, R Zeltner, BD Schulze, SW Reinhold, ...",,,0,NA,Dip1O2bNi0gC,
,,,,Fast detection of volatile organic compounds from bacterial cultures by secondary electrospray ionization-mass spectrometry,"J Zhu, HD Bean, YM Kuo, JE Hill",Journal of clinical microbiology,"48 (12), 4426-4431",177,2010,u5HHmVD_uO8C,
,,,,Colorectal Cancer Detection Using Targeted Serum Metabolic Profiling,"J Zhu, D Djukovic, L Deng, H Gu, F Himmati, EG Chiorean, D Raftery",Journal of proteome research,"13 (9), 4120-4130",151,2014,LkGwnXOMwfcC,
,,,,Detecting bacterial lung infections: in vivo evaluation of in vitro volatile fingerprints,"J Zhu, HD Bean, MJ Wargo, LW Leclair, JE Hill",Journal of breath research,"7 (1), 016003",94,2013,ULOm3_A8WrAC,
,,,,Detecting bacterial lung infections: in vivo evaluation of in vitro volatile fingerprints,"J Zhu, HD Bean, MJ Wargo, LW Leclair, JE Hill",Journal of breath research,"7 (1), 016003",93,2013,9yKSN-GCB0IC,
,,,,"Secondary electrospray ionization-mass spectrometry (SESI-MS) breathprinting of multiple bacterial lung pathogens, a mouse model study","J Zhu, HD Bean, J Jiménez-Díaz, JE Hill",Journal of Applied Physiology,"114 (11), 1544-1549",71,2013,2osOgNQ5qMEC,
,,,,Globally Optimized Targeted Mass Spectrometry: Reliable Metabolomics Analysis with Broad Coverage,"H Gu, P Zhang, J Zhu, D Raftery",Analytical Chemistry,"87 (24), 12355-12362",58,2015,YOwf2qJgpHMC,
,,,,Robust detection of P. aeruginosa and S. aureus acute lung infections by secondary electrospray ionization-mass spectrometry (SESI-MS) breathprinting: from initial infection to …,"J Zhu, J Jiménez-Díaz, HD Bean, NA Daphtary, MI Aliyeva, LKA Lundblad, ...",Journal of breath research,"7 (3), 037106",56,2013,W7OEmFMy1HYC,
,"Escherichia coli, E. coli",,yes,Detection of< i> Escherichia coli</i> via VOC profiling using secondary electrospray ionization-mass spectrometry (SESI-MS),"J Zhu, JE Hill",Food microbiology,"34 (2), 412-417",46,2013,qjMakFHDy7sC,
,,,,Characterizing bacterial volatiles using secondary electrospray ionization mass spectrometry (SESI-MS),"HD Bean, J Zhu, JE Hill","JoVE (Journal of Visualized Experiments), e",e2664,43,2011,u-x6o8ySG0sC,
,,,,"Combining NMR and LC/MS using backward variable elimination: metabolomics analysis of colorectal cancer, polyps, and healthy controls","L Deng, H Gu, J Zhu, GA Nagana Gowda, D Djukovic, EG Chiorean, ...",Analytical chemistry,"88 (16), 7975-7983",42,2016,M3ejUd6NZC8C,
,,,,Identification of novel candidate plasma metabolite biomarkers for distinguishing serous ovarian carcinoma and benign serous ovarian tumors,"MF Buas, H Gu, D Djukovic, J Zhu, CW Drescher, N Urban, D Raftery, ...",Gynecologic oncology,"140 (1), 138-144",42,2016,3fE2CSJIrl8C,
,,,,Breathprints of model murine bacterial lung infections are linked with immune response,"HD Bean, J Jiménez-Díaz, J Zhu, JE Hill",European Respiratory Journal,"45 (1), 181-190",40,2015,hqOjcs7Dif8C,
,,,,Targeted serum metabolite profiling and sequential metabolite ratio analysis for colorectal cancer progression monitoring,"J Zhu, D Djukovic, L Deng, H Gu, F Himmati, MA Zaid, EG Chiorean, ...",Analytical and bioanalytical chemistry,"407 (26), 7857-7863",39,2015,KlAtU1dfN6UC,
,,,,Integrated plasma and urine metabolomics coupled with HPLC/QTOF-MS and chemometric analysis on potential biomarkers in liver injury and hepatoprotective effects of Er-Zhi-Wan,"W Yao, H Gu, J Zhu, G Barding, H Cheng, B Bao, L Zhang, A Ding, W Li",Analytical and bioanalytical chemistry,"406 (28), 7367-7378",37,2014,Se3iqnhoufwC,
other,obesity,,yes,Green tea extract prevents obesity in male mice by alleviating gut dysbiosis in association with improved intestinal barrier function that limits endotoxin translocation and …,"P Dey, GY Sasaki, P Wei, J Li, L Wang, J Zhu, D McTigue, Z Yu, RS Bruno",The Journal of nutritional biochemistry,"67, 78-89",30,2019,j3f4tGmQtD8C,
,,,,Staphylococcus aureus methicillin resistance detected by HPLC-MS/MS targeted metabolic profiling,"K Schelli, J Rutowski, J Roubidoux, J Zhu",Journal of Chromatography B,"1047, 124-130",29,2017,4TOpqqG69KYC,
,,,,Comparative metabolomics revealing Staphylococcus aureus metabolic response to different antibiotics,"K Schelli, F Zhong, J Zhu",Microbial biotechnology,"10 (6), 1764-1774",28,2017,L8Ckcad2t8MC,
,,,,Quantitative method to investigate the balance between metabolism and proteome biomass: starting from glycine,"H Gu, PA Carroll, J Du, J Zhu, FC Neto, RN Eisenman, D Raftery",Angewandte Chemie,"128 (50), 15875-15879",27,2016,mB3voiENLucC,
,,,,Identifying methicillin-resistant Staphylococcus aureus (MRSA) lung infections in mice via breath analysis using secondary electrospray ionization-mass spectrometry (SESI-MS),"HD Bean, J Zhu, JC Sengle, JE Hill",Journal of breath research,"8 (4), 041001",24,2014,UebtZRa9Y70C,
,,,,Identifying methicillin-resistant Staphylococcus aureus (MRSA) lung infections in mice via breath analysis using secondary electrospray ionization-mass spectrometry (SESI-MS),"HD Bean, J Zhu, JC Sengle, JE Hill",Journal of breath research,"8 (4), 041001",24,2014,kNdYIx-mwKoC,
